ARCHV_OFF,DAT_EXPIRA_OFF,DESC_OFF,ID_RECRUTEUR,MISSION_OFF,NOM_AVG_OFF,NOM_MC_OFF,NOM_OFF,NOM_TE_OFF,PHOTO_OFF,SAL_MIN_OFF,SEXE_CAND_OFF,__v,_id,createdAt,updatedAt
1,2022-05-27,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,626ebc7ac2f063715ccfb3e0,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,/ticker restaurent,/nodeJs/javascript/html5/react/français/anglais,ingénieur informatique,/CDD/SVIP,C:\Users\USER\Desktop\img\3.jpg,800,Femme,0,62448600447f4b0df86486b2,2022-03-30T16:32:00.693Z,2022-05-28T08:29:04.131Z
1,2022-05-09,notre offre ...,626ebc7ac2f063715ccfb3e0,tous informatique,/ticker rseto/bouno icence,/Info/Python,developpement,/CVP/CDD,C:\Users\USER\Desktop\img\1.jpg,800,Autre,0,626732c94e98102134a1ecd3,2022-04-25T23:46:17.382Z,2022-05-09T23:24:58.241Z
1,2022-05-20,"As a proactive and smart Front-End Web Developer, you will be part of our Agile team that is focused on delivery and implementation of the key products for the Primeur solutions.",626ebc7ac2f063715ccfb3e0,"What I will be doing
• Developing new user-facing features
• Building reusable components and front-end libraries for future use
• Translating designs and wireframes into high quality code
• Optimizing components for maximum performance across a vast array of web-capable devices and browsers",/ticker rseto,/Python,Front-End React Developer,/CDD,C:\Users\USER\Desktop\PFE\reactDev.png,2500,Autre,0,627baf34921c3c20083b7bda,2022-05-11T12:42:28.721Z,2022-05-21T14:40:52.636Z
0,2022-05-30,"Nous sommes une entreprise implanter a les régions Sousse et Monastir, avec une équipes de 40 collaborateurs. 

vous voulez participer a une aventure dans une entreprise commercial en pleine de croissance.
nous cherchons un développer Web, qui est passionner par l'innovation, la veille et qui veux participer a la création d'un Site Web.",628ac9a5cc3e7b3b683203c8,"Vous êtes Développeur Web ?   
Dans le cadre du développement d'un site web pour l'entreprise 'magasin 4 prix',  nous allons proposer un stage pour la création d'un site web.

voulez vous nous rejoindre dans cette mission ? ",/,/ Développement/ Designe graphique Création/  Informatique/Développement web,Développeur Web,/CVP,https://cdn.filestackcontent.com/0yQMYefAR4C8N13pgCfC,800,Autre,0,628acd54cc3e7b3b683203d0,2022-05-22T23:55:00.557Z,2022-05-22T23:55:00.557Z
1,2022-06-01,"Python est un langage de programmation interprété, multi-paradigme et multiplateformes. Il favorise la programmation impérative structurée, fonctionnelle et orientée objet",628ac9a5cc3e7b3b683203c8,"Développement des composants back Python 
Développement des APIs REST
Réalisation des tests unitaires et des tests d’intégration sur tous les développements réalisés
Participation au processus d’intégration continue
Rédaction de la documentation
Interaction et appui du tech lead et du directeur du développement sur les choix technologiques et la définition des architectures des applications",/Primes exceptionnelles sur objectifs/Tickets restaurants/Prise en charge partielle des activités sportives/Possibilité de télétravail/,/python/informatique/développeur python /flask,Développeur Python,/CDD,https://cdn.filestackcontent.com/cS5nZV5MRtqPD6tJVbkA,3000,Autre,0,628ad5eacc3e7b3b683203dd,2022-05-23T00:31:38.369Z,2022-05-23T10:24:44.213Z
0,2022-06-01,"Dans le cadre de sa croissance, Chaaben Technology Group  recrute EN URGENCE un ingénieur en développement Python.",628ac9a5cc3e7b3b683203c8,"Participer au développement back de l’application de bout en bout ;
Participation à la définition et à la priorisation des users story
Développement des fonctionnalités et tests unitaires associés
Réalisation des tests python
Livraison sur les différents environnements via un pipeline de CI/CD
Maintenance et évolution du code existant et à venir ",/Ambiance conviviale/Horaires de travail flexibles /Possibilité de télétravail /,/logiciel/développement /Python/ML/flask,Ingénieur en développement Python,/CVP,https://cdn.filestackcontent.com/cW9lSKNVR06lxwEXVt6P,2500,Femme,0,628ae0dacc3e7b3b683203ed,2022-05-23T01:18:18.006Z,2022-05-23T01:18:18.006Z
0,2022-06-01,"Python est un langage de programmation interprété, multi-paradigme et multiplateformes. Il favorise la programmation impérative structurée, fonctionnelle et orientée objet",628ac9a5cc3e7b3b683203c8,"Développement des composants back Python 
Développement des APIs REST
Réalisation des tests unitaires et des tests d’intégration sur tous les développements réalisés
Participation au processus d’intégration continue
Rédaction de la documentation
Interaction et appui du tech lead et du directeur du développement sur les choix technologiques et la définition des architectures des applications",/Primes exceptionnelles sur objectifs/Tickets restaurants/Prise en charge partielle des activités sportives/Possibilité de télétravail//,/python/informatique/développeur python /flask,Développeur Python,/CDD,https://cdn.filestackcontent.com/cS5nZV5MRtqPD6tJVbkA,3000,Autre,0,628b6132cc3e7b3b683203f9,2022-05-23T10:25:54.827Z,2022-05-23T10:25:54.827Z
1,2022-06-02,"Dans le cadre de l'évolution de la messagerie d un de nos clients, les infrastructures nationales sont à mettre à niveau.
",628ac9a5cc3e7b3b683203c8,"Les missions consistent à reprendre des scripts écrits en perl et les adapter en python, pour les services :

d'archivage annuel des messages,
fédération d'annuaires openldap (synchronisation, contrôles),
réécriture de plugin d'un serveur de liste de diffusion de messagerie (création de listes dans l'annuaire,
etc.
La documentation du travail réalisée est incluse dans la mission.",/resto/,/Python/informatique/info/DEVELOPPEUR FULLSTACK PYTHON, développeur fullstack python,/CDD,https://cdn.filestackcontent.com/85COzaGOR9G6b3NnJHK8,2500,Autre,0,628b6455cc3e7b3b68320402,2022-05-23T10:39:17.444Z,2022-05-23T10:59:33.308Z
1,2022-06-02,"Dans le cadre de l'évolution de la messagerie d un de nos clients, les infrastructures nationales sont à mettre à niveau.
",628ac9a5cc3e7b3b683203c8,"Les missions consistent à reprendre des scripts écrits en perl et les adapter en python, pour les services :

d'archivage annuel des messages,
fédération d'annuaires openldap (synchronisation, contrôles),
réécriture de plugin d'un serveur de liste de diffusion de messagerie (création de listes dans l'annuaire,
etc.
La documentation du travail réalisée est incluse dans la mission.",/resto//,/Python/informatique/info/DEVELOPPEUR FULLSTACK PYTHON, développeur fullstack python,/CDD,https://cdn.filestackcontent.com/85COzaGOR9G6b3NnJHK8,2500,Autre,0,628b6991cc3e7b3b6832040b,2022-05-23T11:01:37.091Z,2022-05-23T11:02:46.290Z
0,2022-06-02,"Dans le cadre de l'évolution de la messagerie d un de nos clients, les infrastructures nationales sont à mettre à niveau.
",628ac9a5cc3e7b3b683203c8,"Les missions consistent à reprendre des scripts écrits en perl et les adapter en python, pour les services :

d'archivage annuel des messages,
fédération d'annuaires openldap (synchronisation, contrôles),
réécriture de plugin d'un serveur de liste de diffusion de messagerie (création de listes dans l'annuaire,
etc.
La documentation du travail réalisée est incluse dans la mission.",/resto//,/Python/informatique/info/DEVELOPPEUR FULLSTACK PYTHON, développeur fullstack python,/CDD,https://cdn.filestackcontent.com/85COzaGOR9G6b3NnJHK8,2500,Autre,0,628b6a2dcc3e7b3b68320416,2022-05-23T11:04:13.425Z,2022-05-23T11:04:13.425Z
1,2022-06-02,"Dans le cadre de l'évolution de la messagerie d un de nos clients, les infrastructures nationales sont à mettre à niveau.
",628ac9a5cc3e7b3b683203c8,"Les missions consistent à reprendre des scripts écrits en perl et les adapter en python, pour les services :

d'archivage annuel des messages,
fédération d'annuaires openldap (synchronisation, contrôles),
réécriture de plugin d'un serveur de liste de diffusion de messagerie (création de listes dans l'annuaire,
etc.
La documentation du travail réalisée est incluse dans la mission.",/resto//,/Python/informatique/info/DEVELOPPEUR FULLSTACK PYTHON, Ingénieur fullstack python,/CDD,https://cdn.filestackcontent.com/85COzaGOR9G6b3NnJHK8,2500,Autre,0,628b704ccc3e7b3b68320420,2022-05-23T11:30:20.307Z,2022-05-23T11:34:16.187Z
0,2022-06-02,"Dans le cadre de l'évolution de la messagerie d un de nos clients, les infrastructures nationales sont à mettre à niveau.
",628ac9a5cc3e7b3b683203c8,"Les missions consistent à reprendre des scripts écrits en perl et les adapter en python, pour les services :

d'archivage annuel des messages,
fédération d'annuaires openldap (synchronisation, contrôles),
réécriture de plugin d'un serveur de liste de diffusion de messagerie (création de listes dans l'annuaire,
etc.
La documentation du travail réalisée est incluse dans la mission.",/resto/,/Python/informatique/info/DEVELOPPEUR FULLSTACK PYTHON, python,/CDD,https://cdn.filestackcontent.com/85COzaGOR9G6b3NnJHK8,2500,Autre,0,628b70d0cc3e7b3b6832042d,2022-05-23T11:32:32.549Z,2022-05-23T11:32:32.549Z
